Priority,Key,Status,Assignee,Created,VendorCR,Summary
B,XG32WCMS63-394,In Progress,Bruce Wu,03/11/2024 15:48:14,https://amtran.atlassian.net/browse/MONMTK-713,[OSD] 做完reset后，第一次开启PBP时，有时出现无法开启 
B,XG32WCMS63-375,In Progress,Bruce Wu,03/08/2024 16:33:08,https://amtran.atlassian.net/browse/MONMTK-716,"[VIDEO] HDMI source 连接RX6900,在分辨率3840X2160@120hz下，开或者关闭HDR 出现白色画异"
B,XG32WCMS63-298,In Progress,Jason Huang,02/29/2024 16:36:55,https://amtran.atlassian.net/browse/MONMTK-715,"[SYS] 菜单内Vivid Pixel功能异常,  调节数值时，画面清晰度没有逐渐变化"
B,XG32WCMS63-377,In Progress,Bruce Wu,03/08/2024 19:07:22,https://amtran.atlassian.net/browse/MONMTK-714,"[AUDIO] DP source 连接3080 ,播放音乐，在分辨率3840X2160@60HZ（HDR）下，关闭HDR，切换过程中依然有声音输出"
B,XG32WCMS63-102,In Progress,Bruce Wu,01/29/2024 16:46:49,https://amtran.atlassian.net/browse/MONMTK-608,"[OSD] """"Timer-Out"""" Behavior for Key Menu / Key Menu + Main Menu 错误"
B,XG32WCMS63-188,In Progress,Bruce Wu,02/17/2024 10:05:38,https://amtran.atlassian.net/browse/MONMTK-628,[OSD] 核对语言翻译错误
B,XG32WCMS63-252,In Progress,Bruce Wu,02/27/2024 13:24:08,https://amtran.atlassian.net/browse/MONMTK-703,[SYS] HDMIsource 连接20m的HDMI线后，分辨率timing调到2560*1440@144hz以上就会出现无画面
B,XG32WCMS63-262,In Progress,Bruce Wu,02/28/2024 13:58:03,https://amtran.atlassian.net/browse/MONMTK-712,[VIDEO] GameVisual 模式互相时，显示器画面出现闪线条现象，位置不定
B,XG32WCMS63-326,In Progress,Bruce Wu,03/04/2024 09:19:11,https://amtran.atlassian.net/browse/MONMTK-661,[SYS] 移除信号自动切source时，指示灯先变橙色再变白色，然后出画面
B,XG32WCMS63-303,In Progress,Bruce Wu,03/01/2024 09:59:04,https://amtran.atlassian.net/browse/MONMTK-660,[OSD] OSD主菜单内，上下左右调节功能时，菜单内随机出现闪线条现象（如图）
B,XG32WCMS63-322,In Progress,Jason Huang,03/02/2024 14:18:29,https://amtran.atlassian.net/browse/MONMTK-657,[OSD] 语言调节到Bahasa Indonesia(印度尼西亚语)，System Setup字体显示超出
B,XG32WCMS63-266,In Progress,Bruce Wu,02/28/2024 14:39:17,https://amtran.atlassian.net/browse/MONMTK-666,[OSD]菜单内Color Temp→User Mode→R  G  B 调节颜色后，菜单Reset ，R  G  B数值恢复到默认值，实际机台的亮荧幕颜色没有还原
B,XG32WCMS63-217,In Progress,Jason Huang,02/21/2024 15:20:58,https://amtran.atlassian.net/browse/MONMTK-678,"[VIDEO]使用ASUS笔记本FA507,在Typec  source 下，连接780M，分辨率1600x1220@60hz切换到1920x1080@60hz，屏幕右边画面卡顿"
B,XG32WCMS63-339,In Progress,Bruce Wu,03/05/2024 13:16:48,https://amtran.atlassian.net/browse/MONMTK-687,[SYS] 菜单“自动输入检测”开启，PIP/PBP 模式下，主画面切换至无信号的source后，不会自动侦测有信号的源
B,XG32WCMS63-293,In Progress,Jason Huang,02/29/2024 15:18:45,https://amtran.atlassian.net/browse/MONMTK-687,[SYS] 开启PIP/PBP ，  PIP与PBP模式互相切换或显示器DCoff/on，子画面自动跳到Typec信号上，不会自动识别其他信号
B,XG32WCMS63-316,In Progress,Bruce Wu,03/01/2024 16:21:30,https://amtran.atlassian.net/browse/MONMTK-690,[SYS] PIP/PBP模式， 自定义设置→设置1-2保存后， 无法Load出PIP/PBP保存的模式
B,XG32WCMS63-297,In Progress,Bruce Wu,02/29/2024 16:22:30,https://amtran.atlassian.net/browse/MONMTK-696,[SYS] 菜单 游戏--ELMB设置-- 清晰位置功能互相切换时画面遮黑开启后，没有对应的作用
B,XG32WCMS63-290,In Progress,Bruce Wu,02/29/2024 14:23:53,https://amtran.atlassian.net/browse/MONMTK-702,[OSD]HDR模式下，PIP/PBP/Sniper与Sniper Night Vision/DisplayPort 1.2功能依旧可以选择，OSDtree定义 ”X” 不应可以选择切换（如图）
B,XG32WCMS63-183,In Progress,Jason Huang,02/14/2024 11:51:13,https://amtran.atlassian.net/browse/MONMTK-615,[VIDEO] PIP功能开启后，切换子画面位置时，子画面会闪一下
B,XG32WCMS63-192,In Progress,Bruce Wu,02/17/2024 12:01:51,https://amtran.atlassian.net/browse/MONMTK-691,"[SYS] PIP/PBP开启后，做reset后刷新了只能到2560*1440@60hz,找不到HRD选项"
B,XG32WCMS63-168,In Progress,Bruce Wu,02/04/2024 10:16:23,https://amtran.atlassian.net/browse/MONMTK-598,"[OSD]切换到Vietnamese (越南文),菜单乱码"
B,XG32WCMS63-345,In Progress,Jason Huang,03/05/2024 16:22:21,https://amtran.atlassian.net/browse/MONMTK-694,[VIDEO] HDMI连接PS5，测试1440p输出界面，VRR认证过程中，显示器荧幕下方闪烁
B,XG32WCMS63-379,In Progress,Jason Huang,03/08/2024 19:44:47,https://amtran.atlassian.net/browse/MONMTK-698,[VIDEO] DP source 连接3080，在分辨率1920X1080@60HZ下，打开HDR，按菜单键，菜单每出现一次，屏幕就闪一次
B,XG32WCMS63-343,In Progress,Bruce Wu,03/05/2024 14:48:44,https://amtran.atlassian.net/browse/MONMTK-688,[SYS] Sniper Night Vision功能开启后，调节Color Temp./Gamma时，Sniper Night Vision功能中的绿色会消失
B,XG32WCMS63-395,In Progress,Jason Huang,03/11/2024 16:11:35,https://amtran.atlassian.net/browse/MONMTK-710,"[OSD]开启HDR时，显示器的Brightness变为100,再关闭HDR时，显示器的Brightness不会还原到原来的值，而是停在100上"
B,XG32WCMS63-87,In Progress,Jason Huang,01/29/2024 11:40:07,https://amtran.atlassian.net/browse/MONMTK-709,[OSD] 机台ELMB SYNC开启时，机台中提示语与OSD TREE上不同
B,XG32WCMS63-256,In Progress,Jason Huang,02/28/2024 10:38:36,https://amtran.atlassian.net/browse/MONMTK-708,[VIDEO]菜单Gaming - ELMB Setup - ELMB SYNC功能开启，显示画面背光抖动
B,XG32WCMS63-336,In Progress,Jason Huang,03/05/2024 10:16:39,https://amtran.atlassian.net/browse/MONMTK-707,[SYS]Power Setting -  Power Saving Mode，快速睡眠或一分钟睡眠后，五向键任意键换不出菜单
B,XG32WCMS63-388,In Progress,Jason Huang,03/11/2024 11:28:08,https://amtran.atlassian.net/browse/MONMTK-706,[OSD]HDR Setting 細項的明细机台OSD/OSDtree菜单与 OSD Gaming Header Definition中的项目不同
B,XG32WCMS63-103,Open,DennisL,01/29/2024 16:58:40,,[PQ] 开启HDR时画面发白。
B,XG32WCMS63-243,Open,DennisL,02/26/2024 13:32:21,,[PQ] 白平衡工時超標標準120秒實際240秒 工時超標.
B,XG32WCMS63-37,Reopened,DennisL,01/27/2024 13:51:48,,[PQ] 菜单Display Color Space中DCI-P3切到 Wide Gamut画面没有变化
B,XG32WCMS63-226,Open,allen.chen (TPE-Panel),02/22/2024 08:57:30,,[PQ]sRGB 模式色域值不达标
C,XG32WCMS63-408,In Progress,Jason Huang,03/13/2024 15:53:21,https://amtran.atlassian.net/jira/core/projects/MONMTK/issues/MONMTK-725,[OSD] 菜单电源设置切换到省电模式，调节切换语言时Power Indicator的开关在反灰模式会显示下开启
